"Table","Column","CLRType","DbType","MaxLength","IsNullable","IsPrimaryKey","ForeignKeyEntity"
"TrackingSessions","PropertyId","int","int","","True","False","RealEstate.Models.Property"
"TrackingSessions","PropertyId1","int?","int","","True","False","RealEstate.Models.Property"
"TrackingSessions","SellerId","int","int","","True","False","RealEstate.Models.PropertySeller"
"TrackingSessions","SellingPrice","decimal","decimal(18,2)","","True","False",""
"TrackingSessions","Status","string","nvarchar(max)","","False","False",""
"TrackingSessions","TransactionId","int","int","","True","True","RealEstate.Models.Transaction"
"TrackingSessions","TransactionId","int","","","True","True","RealEstate.Models.Transaction"
"TrackingSessions","UserId","int","int","","True","False","RealEstate.Models.ApplicationUser"
"Transactions","AppointmentId","int","int","","True","False","RealEstate.Models.Appointment"
"Transactions","BuyerType","string","nvarchar(50)","50","True","False",""
"Transactions","CreatedAtUtc","DateTime","datetime2","","True","False",""
"Transactions","CustomerEmail","string","nvarchar(255)","255","True","False",""
"Transactions","CustomerId","int?","int","","True","False","RealEstate.Models.Customer"
"Transactions","CustomerName","string","nvarchar(100)","100","False","False",""
"Transactions","CustomerPhone","string","nvarchar(20)","20","True","False",""
"Transactions","CustomerPhotoUrl","string","nvarchar(500)","500","True","False",""
"Transactions","FinancingStatus","string","nvarchar(50)","50","True","False",""
"Transactions","Id","int","","","True","True",""
"Transactions","Id","int","int","","True","True",""
"Transactions","InformationSource","string","nvarchar(50)","50","True","False",""
"Transactions","Notes","string","nvarchar(1000)","1000","True","False",""
"Transactions","NumberOfVisitors","int","int","","True","False",""
"Transactions","PreferredTime","string","nvarchar(20)","20","True","False",""
"Transactions","PropertyId","int","int","","True","False","RealEstate.Models.Property"
"Transactions","Status","int","int","","True","False",""
"Transactions","WhenUtc","DateTime","datetime2","","True","False",""
